PPC	*adoola	‘variety of sweet-husked coconut palm’	Chk atoon, ótoon; Pul yótool, yótoolá-(n); Crl atool; Wol atoole; PCk *adoola; Pon adool	Cf. Yap waqthoel, waqtoel, waqtool ‘a type of tree’.		
PCk	*pwaŋi1	‘art of rigging and construction’	Chk pwáán, pweni- ‘art of rigging or righting an overturned canoe’, (á)-pwen ‘teaching, learning, or performing rigging’; Pul pwaŋi-(y) ‘right (a canoe), move (s.t. heavy)’, (ya)-pwaŋ, (ya)-pwaŋi-(y) ‘teaching art of righting a canoe’; Crl bwááŋ, bwáŋi- ‘special knowledge relating to house building and repair and protection of constructed objects’; Wol baaŋi, baŋi- ‘expert knowledge of house or canoe building’.		Cf. PCk *pwaŋi2 ‘martial art’.	
PCk	*pwaŋi2	‘martial art’	Chk pwáán ‘martial art’, #pwááni-(n), pweni-n ‘m. a. of’, pweni-i-y ‘use m. a. against’, (á)-pwen ‘teaching, learning, or performance of m. a.’; Pul pwaŋi-y ‘fight with traditional m. a.’, (ya)-pwaŋ, (ya)-pwaŋi-y ‘teach m. a.’; Crl bwááŋ, bwáŋi- ‘martial art’, (a)bwáŋibwaŋ, (á)-bwaŋibwaŋ ‘to wrestle with s.o.’; Wol bwaaŋi, bwaŋi- ‘m. a.’, (ge)-baŋi ‘learn m. a.’		Cf. PCk *pwaŋi1 ‘art of rigging and construction’.	
PCk	*pwaraka	‘brave’	Chk pwara, pwaraa-(yiti) ‘b., be b. in its presence’; Pul pwara; Crl bwara, bwora, bwura; Wol berage.			
PCk	*pwarika	‘itch’	Chk pwerik, pwerikerik ‘i., have a ticklish irritation (as in the throat)’; Pul pwárik; Crl bwárigh; Crn bwárig; Wol barige ‘be itchy, have a stingy taste’.			
PCk	*pwa[ty]i	‘pinch’	Chk -pwey, -pweyi- ‘p. or morsel of food (in counting)’, (ni)-pwpwey, w -p pweyi- ‘land crab (pincher)’; Crl bwáyú-(l) ‘portion of (prepared breadfruit)’; Wol bai(kkeshi) ‘to p.’	Cf. Pon mpwa ‘hermit crab’; Mok (umu)-pwa ‘hermit crab’; Saa qa’i-(ao) ‘large hermit crab’ (ao ‘h. c.’).		
PCk	*pwaúr[ae]	‘kind of fish’	Chk pwéwúr, #pwéwúrú- ‘kind of pompano fish’; Pul pwawúr, pwawúrá-(y); Crl bwóuri-(yap) ‘red fish with large eyes similar to the snapper’; Wol baúre.			
PCk	*pwedai	‘be fat (as a person)’	Pul pwotay, pwétáy; Crl bwutááy, bwuteey ‘be f., obese (of persons or animals)’; Stw pwetay; Wol betai; PuA pwatai.	Cf. Mrt pwétárék ‘to expand (as the stomach), to ripen’; Mrs bwetahtah ‘very great, exceedingly rare, eminent, majestic’; Ksr fæt ‘fat’ |(English loan?).		
PCk	*pweeyasa	‘a fish’	Chk pweeyas, pweeyase-(n) ‘pompano fish, p. f. of’; Crn bweyah ‘jack crevally’.		Cf. PCk *pwpweya ‘a fish’.	
PCk	*pwekipweki, li-pwekipweki	‘flap noiselessly, butterfly’	Chk pwisipwis ‘move one's lips without making any noise’, ni-pwisipwis ‘butterfly’ (lit. ‘silent together beater’); Pul lipwékipwék ‘b.’; Crl li-bweibwogh ‘b.’; Crn li-bogobwog ‘b.’; Wol li-begibegi ‘b., caterpillar’.	Cf. Pon likɛpip ‘flap (of wings)’; Mrs pikpik ‘flutter, flapping (of wings)’; Ksr pikpik ‘flutter, flap (wings) rapidly’.		
PCk	*pwele[ae]	‘kind of fish’	Chk pwene ‘a f. of the bass family’; Pul pwele; Crl bwele ‘edible f.’; Wol belaa.			
PCk	*pwete	‘mildewed’	Chk pwey ‘be m.’, pweyi-(n) ‘m. state of’; Stw pweyipwey ‘old, rotten (of fish)’; PuA pwede ‘be old, rotten’.	Cf. Kir (te)-bwebwe |(? <*(te)-bwete) ‘mildew’.		
PCk	*pweti	‘finished, old’	Chk pwi ‘f., done, ceased’; Pul pwey ‘leave (as a spouse)’; Crl bwey ‘be o., decayed, frayed (of things only)’; Wol besi ‘o. (not new)’; PuA pwede (sic) ‘o., rotten’.			
PCk	*pweya or *pwaya	‘swarm of fish’	Chk pwáá-n (iik) ‘sighting of a school of fish’; Crl bwáá ‘a swarm of fish’; Wol baa ‘to swarm (of fish)’; PuA pwaa ‘to swarm (of fish)’.		Cf. PMc *pwawu ‘fishing pole’.	
PCk	*pwia	‘hole’	Chk pwii, pwiye-(n) ‘h. (for head and neck in clothing), h. of’; Wol biiye, biya- ‘h. (often referring to the female vagina)’, biye-ŋi-(i) ‘make a h. in it’; PuA pwiia, pwia‘hole (referring to woman's vagina)’.			
PCk	*pwii-ta[ln]o	‘post to which loombeam attached’	Chk pwii-són, -sónu- ‘upright posts to which warp beam of a loom is attached’; Wol bii-salo ‘loom, flare-line of house or canoe’.			
PCk	*pwikili	‘seed’	Chk kipwin (<*pwikin) ‘s.’, kipwini-(ttúún) ‘a storm god’; Pul pwikil; Crn bwugil ‘edible seeds in one variety of breadfruit’; Wol bigili ‘nut’, bigili-(ssigi) ‘whirlwind’; PuA pwikini ‘nut (of a fruit)’.		Cf. PCk *pwuku or *pwúkú ‘sprout (of a seed)’.	
PCk	*pwili	‘to troll’	Pul pwili-(y) ‘to cast as for bonito’; Wol bili ‘to t. (in fishing)’; PuA pwini ‘trolling, to t.’			
PCk	*pwiri, pwpwiri	‘fart’	Chk pwpwir, pwpwiri-; Pul pwir; Crl pwpwir; Wol bbiri.			Geraghty (1990) wrongly infers a PMc *piri from the Wol form and equates it with his PEO *puRu ‘make a trumpet noise’.
PCk	*pwolowado	‘name of Puluwat Island’	Chk pwonowót; Mrt pwolowat; Pul polowat (sic); Crl bwolowat; Wol bulowate.			The initial vowel of the Wol form is unexpected and suggests it may be an old loan.
PCk	*pwomwo, pwomwo-ni-	‘characteristic motion (of s.o. or s.t.)’	Chk pwoomw, pwomwa-n ‘gesture (of the body), motions (of a thing), g. of’, pwomwe-ey ‘gesture with, perform the motions with (s.t.)’; Pul pwomw (sic) ‘imitation, performance, rendition’, pwomwo-ni-y ‘imitate (it), enact (it), perform (it)’; Crl pwpwomwo-li ‘to feign aggression at, raise one's hand as if to strike (s.o.)’; Wol pomwo (sic) ‘gesture (as in dance), posture’, pomwo-li-i (sic) ‘act it, imitate it’.			
PCk	*pwono	‘have s.t. in the eye’	Pul pwon; Crl bwol; Crn bwon; Wol boolo, bolo- ‘foreign particle (in eyes)’.	Cf. Pon pwull ‘have s.t. in one's eye’; Mrs peylakw ‘get s.t. in one's e.’		
PCk	? *pwonu	‘borrowed thing’	Chk #pwúún, pwúnú-(n) ‘b. t., t. b. by him’; Pul pwon, pwonú-(mw) (sic) ‘b. t., t. b. by you’.			
PCk	*pwoŋiya	‘delayed’	Pul pwoŋi ‘to stay long, be d., last long’; Crl bwuŋi, bwoŋi ‘take a long time, have been in a place for a long time, have been sedentary’; Wol boŋiye ‘be quite a while, be d.’, (ga)-boŋiya-(a) ‘to delay it’.	Cf. Kir bwoŋata ‘prolonged in time’.		
PCk	? *pwpw[ae]	‘gill arch’	Chk pwpwa-(n), pwpwe-(n) ‘its g. a., g. a. of’, (sáná)-pwapw, (sáne)-pwapwa- ‘Moorish idol fish’, (senee)-pw, #(senee)-pwe-(n) |(< *sene-pwpw) ‘kind of surgeon fish, s. f. of’; Pul pwpwe-(n) ‘bone of (fish) to which ventral fins are attached’, (hele)-pwpw, (hele)pwpwe-(n) ‘earthquake’ (associated in Chk lore with surgeon fish); Crl pwpwa-(n) ‘pectoral fin and attached bone of a fish’; Wol bbe- ‘lower side of head of a fish’.	Cf. Tonga (lau)-mea ‘gills’.		
PCk	*pwpweya	‘a fish’	Pul pwpwey ‘deep-sea fish (stage of skipjack?)’; Wol bbeye ‘fish that stays near a drifting log’.			
PCk	*pwpweye	‘blister’	Chk pwpwoy, pwpwoyi-(n) ‘be scalded, scalding of’; Pul pwpwoy ‘be blistered by a burn’; Crl pwpwey ‘burn on the skin, burn blister’; Wol bbeye ‘red mark resulting from a burn’, (ga)-bbeya-(a) ‘cause it to turn red by burning’.	Cf. Pon mpwɛy ‘ball, stomach, sphere’, mpwɛl ‘b., from sunburn’, mpwɛt ‘to b.’; Mok pwɔlɔl ‘to b.’; Ksr fulo-k ‘to burn, scald, cauterize, sear’; PuA pwpwali ‘to hurt’; Ton faa ‘b., be blistered’; Lak palulu ‘have a hives-like swelling’; Rot po’o, po’ ‘to b., be blistered’; Fij boo-(daka) ‘b., be blistered’; and PEO *faRa ‘b.’ |(Geraghty 1990). |The three Pon forms are part of a phonestheme mpw- ‘protrusion’ that includes also mpwɛk ‘bud of a flower’, mpwi ‘drop of water’, mpwokos ‘hunchback’, mpwos ‘a boil’, mpwoampw ‘low hill’, and mpwi ‘barnacle’, among others, and may thus have been subject to innovative forces within Pon.		Cf. also PMc ? *pweLe ‘blister’ posited by Goodenough (1995:77).
PCk	? *pwpwulo	‘name of Pulo Anna Island, Western Carolines’	Pul ppul; Crl pwpwul; Wol bbulo.			Note that some of these could be loans as easily as inherited forms.
PCk	*pwpwuro, pwuro-ŋi-, pwuro-ŋaki	‘peel, scrape’	Pul púra-ŋi-(y) (sic) ‘p. it (as bark or banana)’, pwuro-ŋa-a-(ló) ‘scrape or p. it off’, pwurú-ŋaki-(ló) (sic) ‘be peeled off (of sunburned skin)’; Crl pwpwur ‘to be peeled, skinned (of fruits, vegetables, or animals)’, bwuru-ŋi ‘s., p. (s.t.)’; Wol bburo ‘to p., be peeled (as a banana)’, buro-ŋi-(i) ‘p. it, pare it’, bwuro-ŋagi ‘to be peeled, pared’; PuA pwulo-ŋi ‘to p. (skin)’.	Cf. Aro buro ‘to rub the body’.		
PCk	*pwpwúlú, pwúlú-wa-	‘spouse, married’	Chk pwúnú-wa-(n) ‘his/her s.’, pwúnú-we-ni ‘acquire (s.o.) as a s.’, pwpwúnú, pwúpwpwúnu ‘be m.’; Pul pulú-wa-(n) (sic) ‘his/her s.’, (ya)-pwupwpwulu (pin) ‘to be m.’; Crl bwúlú-wa- ‘s.’, bwúpwpwúlú-w ‘to marry, become m.’, bwúlú-we-li ‘to marry (s.o.)’; Stw púlú-wa-(n) ‘his wife’; Wol bbúlú ‘to hold (as holding a baby)’, búlú-we ‘hold it (e.g., a baby)’.	Cf. Pon pwowd ‘s.’, pwopwowd ‘m. couple, to get m.’, pwowdi-ki ‘to marry (s.o.)’; Mok pwɔpwɔwd ‘m. couple, to be m.’; Mrs paleye- ‘spouse’; Kir bwuu-(na) ‘his/her s.’		
PCk	*pwuka-a	‘boil (food)’	Pul pwuka; Wol buga-a; PuA pwuka.			
PCk	*pwukota	‘property, estate’	Chk (nee)-pwukos ‘at the estate’ (a place name); Crl bwughos, bwughus, bwughosa-l ‘property, his p.’; Wol bugote ‘family, home, village, estate’; PuA pwukota- ‘estate, relatives’.			
PCk	*pwuku or *pwúkú	‘sprout (of a seed)’	Pul pwúk; Crl pwpwugh; Crn pwpwug.		Cf. also PMc *pwere ‘to sprout, blossom’, PCk *pwikili ‘seed’.	
PCk	*pwúllú, pwpwúlú	‘break’	Chk pwúún, pwpwún ‘b.’, pwúnnú-(ú-w) ‘b. it’; Mrt pwúl ‘b., snap’, pwúlupwúlú-ú-(téw) ‘b. it down’; Pul pwúll ‘b. (as a stick)’, pwúllu (sic) ‘to b. (s.t.)’; Crl bwull ‘be broken or fractured (of long things)’, bwullu-u-(w) ‘to b. (s.t.)’; Wol búnnú ‘be broken (of long objects)’; PuA pwpwini ‘to be smashed’.		Cf. PCMc *pwelu ‘break’.	
PCk	? *pwurako, pwuraako	‘emit smoke’	Pul pwurók (sic); Crl bwurókk ‘very heavy smoke, be extremely smoky’; Stw pwurók; Wol buraago ‘smoke, steam, emit smoke’; PuA pwuloko (sic); Sns bwulogo.	Cf. Pon pwurak ‘spit out’. @Cf. POc *bwaku[rR] ‘smoke’ |(Ross 1988); Saa qá’u ‘to s.’; Aro bwa’u ‘to s. thickly’; PMP *burak ‘white’|(Blust 1982).		Cf. Marck (1994:325) PCMC *p’u(rako).
PCk	*pwuro, pwuropwuro	‘bubble, foam’	Chk pwuropwur; Mrt pwurópwor, pwuropwuro(n); Pul pwur ‘boil (as water)’, pwpwur ‘be boiling, be in a lather’, pwuro-(to) ‘come in (as the tide)’; Crl bwur ‘to be high tide’; Stw pwuropwur; Wol buuro, buro- ‘high tide’, buro ‘be high tide’, buroburo ‘bubbles, f.’; PuA pwuulo, pwulo- ‘high tide’, pulopulo ‘bubbles, f.’	Cf. Pon pwolol ‘bubble’.	Cf. PMc *pwu[sS]o ‘foam’	
PCk	*pwuyu	‘flow, go, move’	Chk pwuu- (with directional suffixes) ‘f. (of water)’, pwuupwu ‘f. of a stream’, pwuu-ri ‘carry or wash it along (in f. of a stream)’; Pul pwu ‘f. (as blood’, pwuupwu ‘river’; Crl bwu ‘to f.’, bwuubwu ‘be running, flowing’; Wol bii-, buu- (with dir. suffixes) ‘g., m.’; PuA pwi-(take) (sic) ‘g. or come up’.	Cf. Pon pwil ‘f. (of water)’; Mrs bwewel-(teŋteŋ) ‘overflow of water’, heļ ‘f.’; Ksr fʌl ‘slip, drop, slide’, pul ‘fall with a splashing sound’ |(an apparent loan); Yap luul’, maluul’ ‘f., stream, run (of water)’; Fij kui ‘f.’, vuu ‘wash, cleanse with water’; Ton puu ‘go down, descend’; Rot puu ‘descend’ |(loan from Ton), puupuu ‘rinse out the mouth’; Aro buu ‘drip, fall (of water)’; Lak puu ‘fall (as rain), drop’; Bug pulu-ŋagi ‘sink, submerge’, puru-sagi ‘overflow’; PPn *pulu ‘soaked’; PKb *puru ‘be fallen, descend’.		Cf. also Marck (1994:319) who reconstructs PMc *p’ulu ‘fall, flow’ while noting the PCk irregular loss of PMc *l, and Goodenough (1995:77) who posits PMc *pwuLu ‘flow’, for which this loss would be regular.
PCk	*raki, rakiraki, raki-i-	‘repeatedly, ponder’	Chk -res, resi-(n), -rek ‘repeatedly, again and again’, rekirek ‘to think, go over in one's mind’, reki-i-(y) ‘think it’; Pul rákirák ‘think’, rákiráki-(y) ‘think it’; Crl rághirágh ‘be thinking, remembering’, raghi-i-(y) ‘think it over, debate it’; Wol ragi ‘be counted, kept track of’, ragiregi ‘be arranged, put in order, lined up’, ragi-i-(ye) ‘go through every one of them’.	Cf. Kwa la’a, la’u ‘again, another, more’.		
PCk	*rakici	‘a tree (Calophyllum)’	Chk rekich, rekichi-(n); Mrt rékúsh; Pul rákiR; Crl rághish; Crn regiR; Stw rákiR; Wol ragishi.	Cf. Yap ragich ‘a type of tree’.		Mrs likwej, liwej ‘Callophyllum’ appears to be a loan from a Chuukic source. 
PCk	*rako-mi	‘embrace, hug (s.o.)’	Chk róó-mi; Pul róó-mi-(y) ‘hold on to it’; Crl róómi; Wol rago-mi-(i) ‘hug him, embrace him, wrap it up’.	Cf. UAn *dakep ‘embrace’.		
PCk	*ratirati, rati-i-	‘cut, remove by cutting’	Chk reyirey ‘cutting, surgery, slicing, be cut (with a knife), sliced, operated on’, reyi-i-(y) ‘cut it, slice it’; Pul ráyiráy, ráyi (sic) ‘to cut, sever’; Crn reirey ‘cut, slice’; Wol rasiresi ‘to remove s.t. with an instrument (as in removing meat from a clam), get rid of, eliminate’, rasi-(i) ‘remove it, eliminate it’.		See also PCk *ree, reeree ‘to saw’.	
PCk	*rawa	‘cooking pot’	Chk raaw, rawe-n ‘metal c. p., p. of’; Pul raaw, rawo-n ‘tin can, container’; Crl raaw, rawe-l ‘c. p.’, rawa ‘cook (s.t.) in a pot’; Wol raawe ‘c. p., iron pot’.			
PCk	*rece	‘tern’	Chk reech ‘a tern’; Pul reeR ‘small variety of chickens’ (sic); Wol reeshe, reshe- ‘white-capped noddy’.	Cf. Pon pa-rɛt ‘black tern’.		
PCk	*ree, reeree	‘to saw’	Mrt reere; Pul reere ‘to s.’, ree-(y) ‘to cut, s. (s.t.)’; Crl reere ‘a s., to s.’, ree-(y) ‘to cut (an object) with a s.’; Wol reeree ‘a s., to saw’, ree-(ye) ‘s. it, sever it, amputate it, use a s. to cut it’; PuA lee ‘to cut it with a s., clip it’, leelee ‘s., to cut with a s.’; Sns leele ‘s.’	Cf. Pon rasaras ‘s., to s.’, rɛsɛ ‘to s. (s.t.)’; Ksr laslas ‘to cut, operate on, incise’, lihse ‘cut or operate on (s.o.)’.	See also PCk *ratirati, rati-i- ‘cut, remove by cutting’.	
PCk	*reepiya	‘wise, knowing’	Chk reepi ‘be wise, experienced’, reepiye-e-(y) ‘understand, be wise in (s.t.)’; Pul reepiya ‘to understand (s.t.)’; Crl reepi ‘be intelligent, smart, knowledgeable, wise, clever’, reepiya ‘to recall (things past)’; Wol reepiye ‘be smart, clever, have know-how’.			
PCk	*repa, ka-repa	‘near, close’	Chk a-rap, akka-rap ‘be n., c.’, a-rapa-(kkan) ‘very c.’; Mrt a-rapa-(n) ‘its vicinity, c. to it’; Pul ya-rap ‘be or draw n.’, akka-rap ‘be c.’; Crl a-rap ‘be n.’, akka-rap ‘come closer, approach’; Stw a-rap, a-rapa-(n) ‘n., c. to it’; Wol repe ‘be c. by, n.’, ga-repa ‘be n., come c.’, ga-repa-(a) ‘to be n. to it, come c. to it’, ga-repe-repe ‘get closer, be approaching’; PuA ka-lepa ‘to be c.’			
PCk	*riciŋa	‘a fish’	Chk richiŋ, richiŋe-n ‘a kind of flounder, f. of’; Pul riRiŋ ‘butterfly f.’; Crl resheŋ ‘sp. of edible f.’; Wol rishiŋe ‘kind of f.’		Cf. PPC *riciŋa ‘gate, door that may be opened or closed’.	
PCk	*riki	‘to turn quickly’	Chk rik ‘change direction, t.’, riki-(to) ‘turn hither’, rikirik ‘zigzag, move from side to side’, (kkapas) rikirik ‘misleading talk’; Mrt rikú-(loŋ) ‘t. and enter’; Pul riki-(to) ‘t. to come’; Crl righ ‘be turning (of wheels), roll fast’, righirigh ‘to t. quickly’; Wol rigirig ‘a runner, fast runner’.		Cf. PMc *ruku1 ‘tip, go under water’.	
PCk	*roko	‘bend, curve’	Chk ro ‘bend the body forward, bow, stoop’, roo-(to) ‘lean hither’; Mrt ro-(téú) |(sic, presumably *roo-[téw]) ‘to bow’; Wol rogo-(tiw) ‘bend down’, rogo ‘curved’.	Cf. Pon rɛki-(di) ‘to bend down to pick s.t. up’. @Cf. Saa oro, orooro ‘to bend down, stoop, lean over’; Bug olo ‘to bend, stoop’; Aro oro ‘to lean, incline, stoop’, oro-hi ‘lean on’; Kwa olo ‘feel sleepy’.	Cf. PMc *ruku2 ‘to stoop’.	
PCk	*roŋo	‘special knowledge of spells’	Chk rooŋ, roŋe-(n) ‘s. k. involving the use of spells, s. k. of’; Mrt rooŋ ‘magic, k.’; Pul rooŋ, roŋo-(n) ‘magic, m. of’; Crl rooŋ, roŋo-(l) ‘k., specialty, medicine, lore, l. of’; Wol rooŋo, roŋo-(l) ‘tradition, k. (handed down), t. of’.		See also PMc *roŋo ‘hear, listen’.	
PCk	*rooroo, roo-ki-	‘to lift up, carry’	Pul roo-ká-á-(tá) ‘to pick up (as a child)’; Crn rooro ‘to c. s.t. in the arms (as a child or bundle)’, roo-ghi ‘to c. (s.t.) in the arms’; Wol rooroo ‘to c., pick up and move, transport’, roo-gi-(i) ‘c. it, transport it, convey it’; PuA lolo (sic) ‘to l.’, lo-ka (sic) ‘to l. it’.	Cf. Pon ro ‘be carried on a litter between forward and rear carriers’, rowɛ ‘c. (s.t.) on a litter’.		
PCk	*rudu	‘to lie, tell a lie’	Crl rut, ruturut; Wol rutu ‘to l.’, rutu-u-(w) ‘l. to (s.o.)’.			
PCk	*rumwu	‘barb, sharp point’	Chk ruumw, rumwu-n ‘barb, b. of’; Wol ruumwu, rumwu‘sharp point of a spear’.			
PCk	*rupwu	‘yaws, skin sore’	Chk ruupw, rupwu-n ‘y., his y.’; Pul ruupw ‘leprosy, y.’; Crl ruubw, ruwbu-l ‘rash, skin sores, y., his r.’, rubw ‘have y.’; PuA luupwu, lupwu- ‘a boil’.			
PCk	*rupwuŋu	‘ivory nut palm’	Chk rúpwúŋ, rúpwúŋú-(n) ‘ivory nut palm (Coeloccus amicarum), p. of’; Crl rebwuŋ; Crn rubwuŋ.	Cf. Pon ɔɔs ‘ivory nut palm’; Yap ruuŋ ‘type of tree’.		
PCk	*ruumee	‘bottle’	Chk ruume, ruumee-n ‘b., b. of’; Wol ruumee ‘huge b. used for storing water’.			
PCk	*rúúrú	‘search for things’	Chk rúúr, rúrrúúr ‘s. for scattered objects’; Pul rúúr ‘gather together (as picked breadfruit or coconuts)’; Wol rúúrú ‘to fish by chance, hunt for, collect (fruit)’.	Cf. Chk kkúúr ‘s. for scattered objects’.		
PCk	*ruwa	‘move quickly’	Chk ru ‘rush about, bustle about, hurry to and fro’, ruwe-e-(y) ‘to hurry towards it’; Wol ruwe ‘sneak back and forth, move quietly and stealthily’, ruweruwe ‘fast runner, to run fast’.			
PCk	*-taa[iØ]	‘no longer’ (aspect marker)	Crl -saa; Wol -taai; PuA -taai.			
PCk	*taani	‘not yet’	Mrt -sáán; Pul -háán; Crl -sáál.	Cf. Mrs jahŋin, jahyin ‘not yet, never’; Ksr soen, son ‘not yet’.		
PCk	*tadawana	‘name of Satawan Island, Mortlock Islands, and of Satawal Island, Central Carolines’	Chk satawan; Pul hátáwaan; Crl satawan; Crn hatawan; Wol satewale.			
PCk	*tadi-kkaŋi	‘have skin affected by sea water’	Chk seti-kken ‘be or taste salty, taste of sea water’; Wol tati-geŋi ‘have blisters or scratches between the legs as a result of walking or wading in the sea’.		See PMc *taSi ‘salt water’ and PCMc *kakaŋi ‘sharp’.	
PCk	*tado, tado-ni-	‘to attempt, try’	Chk sót ‘t., a.’, ssót ‘be attempted, tried, tested’, sóssót ‘trial, temptation, test, be tried, attempted, tested’, sótu-n ‘have a t., make an effort, have a go’, sótu-ni ‘attempt, t., test (s.t.)’; Pul hóto-ni-(y) ‘to t. or taste (s.t.), to tempt (s.o.)’; Crl sóto-l ‘to t., a.’, sóto-li ‘t. or a. (s.t.)’.	Cf. PEO *ta[sz]o-n; Saa ’ato-ni ‘to plan, set out [a garden]’; Aro ato, atoato, ato-ŋi ‘to lay out in rows [as a garden]’; Kwa ato-ni-[a] ‘to prepare, make ready’. @Cf. Lau ato ‘be difficult’.		
PCk	*tafe(y)a	‘medicine’	Chk sáfey, sáfeya-(n), sáfee-(n) ‘m., his m., m. of’, sáfee-ni ‘to medicate (s.t.)’; Pul háfey, háfeya-(n), háfeyá-(n) ‘m., his m., m. of’, háfeyá-ni ‘to medicate’; Crl sáfey, sáfeya-(l) ‘m., m. of’, sáfeyá ‘to medicate’; Crn hafey ‘m.’, háfeyá ‘to medicate’; Wol tafeye, tafeya-(li) ‘m., m. of’, tafeya-(a) ‘to medicate’; PuA tadea ‘to medicate’.			
PCk	*takullu	‘egg’	Chk sókuun, sókunnu-(n) ‘egg, e. of’; Mrt sókkull; Pul hakull, hakullú-(n); Crl sóghull, saghull, sóghullu-(l); Crn hugull; Stw sókunn; Wol súgúnnú.	Cf. PuA sakai and Sns sakay ‘egg’.		Looks like a loan from somewhere. 
PCk	*ta-mwaaú	‘sickness, be sick’	Chk sa-mwaaw, #sa-mwaawe-(n) ‘s., be sick, not well, s. of’; Mrt se-mwaaw; Pul he-mwaay, he-mwaayi-(n); Crl se-mwaay, se-mwaayú-(l); Crn hemwaay, se-mwaay; Wol te-mwaaú.	Cf. Pon sow-mwaaw ‘s., be sick’; Mrs wita-mwéy ‘sick, unhealthy’.	See also PMc *mwaau ‘good, healthy’.	
PCk	*tamwoolu (?<*tama + ulu)	‘chief’	Chk sómwoon, sómwoonu-(n) ‘c., c. of’; Mrt sómwoolu-; Pul hamwol (sic); Crl sómwool; Crn hamwool; Stw sómwool, sómwoon; Wol tamwelú (sic); Uli tamwol (sic); PuA tamwonu (sic).	Cf. Mrs jemwmwahan ‘top man, boss’; Kir (te)mwaane ‘man’; Pon samworo ‘high priest in traditional religion’. @Cf. also Rot tamori ‘human being’; Gedaged tamol ‘man’; Nguna (na)-tamwoli ‘human being’, Pango (Efate) (na)-tamol ‘man’.		
PCk	*tao[ln][ae]	‘to bloom (of flowers)’	Chk sóón ‘be in b. (of flowers, blossoms), sóónó(nó) ‘to b.’; Wol tóóle ‘to b., blossom, bear flowers’.	Cf. Pon ma-sal ‘to blossom, bloom’.		
PCk	*tao[ln]o	‘a tree’	Chk sóón, sóónu-(n) ‘a t. (Barringtonia asiatica, B. racemosa)’; Wol sóólo, sóólo- ‘a kind of t.’			
PCk	*taparo	‘dolphin (fish)’	Chk sopor, soporu-(n) ‘d., d. of’; Pul hapwór, hópw ór, hópwóre-(y); Crl sapór; Wol tepóóro ‘a kind of yellow d.’			
PCk	? *tapekú	‘sprout’	Chk sápúk ‘sugar cane’ (Toon dialect); Wol tapegú ‘to sprout, be overgrown, sprouting’.			
PCk	*ta-rama	‘a light’	Chk sa-ram, sa-rame-(n) ‘l., l. of’; Pul ha-ram, ha-rame-(n) ‘l., daylight, l. of’; Crl sa-ram, sa-rama-(l); Crn ha-ram ‘light’; Wol te-rame ‘l., be l.’	Cf. Mrs jarwem ‘electricity’, (lahamw) ja-rwem ‘flashlight, electric l.’		Ksr sa-rom ‘electricity’ would appear to be a loan from Mrs. See PMc *rama ‘bright, luminous’ and PAn *damaR ‘torch’ (Ross 1988).
PCk	*tarepwalú	‘a star or constellation in Corvus’	Chk serepwén ‘a s. or c. in C., name of a sidereal month’; Pul hárepwél ‘s. or c. in C., a sidereal month’, saropwél ‘a star in C.’; Stw sárepwel ‘C. (probably)’; Wol sarebelú ‘a star in C.’; PuA talepwanú ‘a sidereal month equated with January’; Map jerual.			Pon sɛripwɛl ‘C.’ (Bender et al. 1984) is a probable loan from a Chuukic source.
PCk	? *[tT]arú	‘small knife’	Chk saar, #saarú-(n) ‘s. k., table k., pocket k., k. of’; Mrt saar, sarú-; Pul haar, harú-(n); Crl saar, sarú-(l); Crn haar, harú-(n); Wol saarú, #saarú-(l), sarú-(l); Uli sár (sic).	Cf. Yap yaer ‘k.’; Chm se’se’ ‘k., cut with a k.’		
PCk	*taú	‘sunset’	Chk séé ‘s. glow’; Mrt séé ‘dusk’; Pul héé; Stw séé.		Cf. PMc *tau2 ‘season, sun’.	
PCk	*taúdaa	‘a star’	Chk sééta ‘a s. (probably alpha Equulei), name of a sidereal month’; Pul hééta ‘a s. in Equuleus, a sidereal month’; Crl sééta ‘a sidereal month’; Stw sééta ‘Aquarius’; Wol séétaa ‘a s. in Aquarius’; PuA taúta (sic) ‘a sidereal month equated with June’; Map tyata ‘constellation associated with Equuleus’.	Cf. Mrs jitahtah ‘gamma, zeta, pi Aquarius’.		
PCk	*tawa-yi-	‘to go along the side of (an island)’	Chk sawe-e-(y) ‘make the rounds of’; Wol sawe-e-(ye) ‘go along side of it (as an island)’, ssawe ‘walk along the beach, go along side’.	Cf. Kir tatawe ‘move quickly’.		
PCk	*ta[wØ]ia-awa	‘large sp. of bass’	Chk sewii-yaw, seyi-yaw ‘large sp. of b. (probably jawfish)’; Crl sai-yaw ‘large sp. of grouper fish’; Crn hai-yaw ‘large sp. of grouper fish’; Wol taiya-awe ‘a Plectropomus fish’.		See PWMc *tawia ‘any of several kinds of sea bass’.	
PCk	*tawuwafaŋi	‘kind of eel’	Chk sowuwefeŋ ‘a clan name’, Pul hawofáŋ (sic) ‘moray e.’; Crl soufáŋ; Wol sauwefaŋi ‘a small e., a clan name’.			Cf. Yap f’aaŋ ‘kind of e.’, from which it may be derived.
